ID,CODIGO,QUANTIDADE,ESTOQUE_INICIAL,DESCRICAO,EMBALAGEM,VALOR,CRIADO_EM,ATUALIZADO_EM
8,2028-G,1700,1800,"MANG EXTRAFLEX LARANJA 1/2"" 300M FORTRAL",300,2.11,2025-10-16 14:56:24.299346,2025-10-24 13:05:15.903999
7,2029-G,1500,1500,"MANG EXTRAFLEX AZUL 1/2"" 300M FORTRAL",300,2.11,2025-10-16 14:56:24.299346,2025-10-16 15:00:38.338837
10,6159-G,3100,3000,"MANG SUPREMA 1/2 X 2,5 VERM 250 FORTRAL",250,2.89,2025-10-16 14:56:24.299346,2025-10-24 12:21:51.715608
6,6190-G,2960,3000,"MANG DUPLAF VD FOSCA1/2X2,0 300M FORTRAL",300,1.66,2025-10-16 14:56:24.299346,2025-12-04 19:14:01.930158
9,8318-G,1900,2000,"MANG TOPGARDEN 1/2X3,0 200M GNS",200,3.18,2025-10-16 14:56:24.299346,2025-10-23 20:04:34.515224
11,8554,101,101,GRELHA INOX C/ABA 10X100 FORTRAL,UN,0.00,,
12,8571,33,33,GRELHA C/CX COLET.INOX 10X100 FORTRAL,UN,0.00,,
